Date,Lat,Long,Surface_layer,Middle_layer,RootZone_layer,TP_cum,Temp_avg,WS_avg,RH_avg,SR_cum,LAI_HV,LAI_LV,PEv_cum,TEv_cum
20/03/2023,34.71,108.31,0.16911,0.1057,0.14167,0,5.551839263,1.253416942,48.92637779,4414.869942,2.171228288,1.327485846,2.445995504,1.309869883
21/03/2023,34.71,108.31,0.16178,0.11757,0.1501,0,5.549631725,1.607485173,53.32092096,3642.422837,2.172780971,1.338548063,2.117826194,1.092821891
22/03/2023,34.71,108.31,0.16096,0.16476,0.19594,0,9.136545829,2.107300498,46.62668483,5430.471218,2.174342942,1.349618642,3.37856462,1.728859577
23/03/2023,34.71,108.31,0.15972,0.15956,0.18278,0,10.02978522,1.224313654,48.27871238,5418.316861,2.175902321,1.360679471,3.182753413,1.662153565
24/03/2023,34.71,108.31,0.15796,0.16305,0.19176,0,12.31161504,1.086092475,47.37181317,5460.385849,2.177452638,1.371740946,3.329111465,1.700479287
25/03/2023,34.71,108.31,0.15262,0.15975,0.18849,0,12.86545815,1.480442596,50.94248008,5288.31605,2.179023433,1.382803967,3.563445782,1.731750381
26/03/2023,34.71,108.31,0.15015,0.15675,0.17922,0,13.43414306,1.363585712,52.60610879,4853.986294,2.180588517,1.393879863,3.198587768,1.547594733
27/03/2023,34.71,108.31,0.14932,0.15281,0.1781,0,14.66202798,2.468530642,35.61566929,5648.71092,2.182141879,1.404937708,4.439871749,1.937803603
28/03/2023,34.71,108.31,0.14874,0.14558,0.16231,0,14.28904222,1.842199321,33.11845658,5658.79585,2.183701379,1.415997429,4.356824856,1.74792327
29/03/2023,34.71,108.31,0.15144,0.1518,0.18125,0.070172235,16.87629177,1.794795134,46.56397521,4502.035229,2.185265675,1.427066404,3.514938201,1.290915419
30/03/2023,34.71,108.31,0.158,0.14654,0.162,0.963450943,11.22621669,4.590045017,45.67754842,3390.728341,2.186829275,1.438125767,3.135772013,0.984419073
31/03/2023,34.71,108.31,0.15453,0.1525,0.17516,0,5.636830645,2.078934528,23.59075092,6128.641889,2.188382513,1.449193554,3.558530132,1.106350671
01/04/2023,34.71,108.31,0.14916,0.15463,0.17944,0,9.393727704,1.751225647,30.10556229,5938.696018,2.189870954,1.4602569,3.983563682,1.076420362
02/04/2023,34.71,108.31,0.13385,0.13085,0.1613,0,14.30093376,3.658346171,33.86090317,5956.247977,2.191503879,1.47132265,5.10673065,1.072170394
03/04/2023,34.71,108.31,0.14039,0.15026,0.1775,0.411954117,10.9114787,2.722149538,23.11974417,5022.564006,2.193072479,1.482393542,4.222691631,0.736603196
04/04/2023,34.71,108.31,0.17555,0.12972,0.15253,13.4225138,3.182739246,2.559367388,89.32637954,1782.011196,2.194624533,1.493456475,0.868028774,0.981091701
05/04/2023,34.71,108.31,0.12525,0.12586,0.14476,0.006239558,3.989196758,1.697660163,75.21586946,5314.082818,2.196183613,1.5045133,2.619357527,0.93397843
06/04/2023,34.71,108.31,0.12525,0.12527,0.14452,0.004658747,7.162373867,1.890651544,70.73301296,5165.935904,2.197753492,1.515581521,2.914186399,1.069108999
07/04/2023,34.71,108.31,0.12466,0.12497,0.1444,0.000611004,8.52445475,1.968417713,72.08090683,5263.22506,2.199312404,1.526641367,2.961768115,1.141183864
08/04/2023,34.71,108.31,0.12525,0.12497,0.14498,0.856908407,9.543568888,1.950184504,75.41507329,4027.241294,2.200870225,1.537701717,2.306252424,1.120505087
09/04/2023,34.71,108.31,0.12585,0.12497,0.14618,0.054136546,11.97434493,2.055493033,66.12938513,5309.441294,2.202428996,1.548774729,3.242766466,1.460188462
10/04/2023,34.71,108.31,0.12763,0.12556,0.14627,0.478662456,10.83792113,1.845922936,52.80596017,2367.484585,2.203989388,1.559845479,2.153167522,0.927602579
11/04/2023,34.71,108.31,0.12703,0.12467,0.14335,13.22037412,5.218597438,1.761734305,90.73021438,1238.844875,2.205552904,1.570900921,0.634699906,1.278149347
12/04/2023,34.71,108.31,0.12763,0.12408,0.14525,0.189634381,5.541687004,2.049945537,78.72227379,3089.63051,2.207108221,1.581967067,1.756490589,1.08160056
13/04/2023,34.71,108.31,0.12941,0.12378,0.14326,0.007457169,8.620900488,1.435173908,74.76965313,5540.843438,2.208670542,1.593028388,3.065931559,1.744024601
14/04/2023,34.71,108.31,0.12763,0.12408,0.14512,0.23594595,9.832733225,1.497727405,72.9067895,4076.063947,2.210241392,1.604088279,2.337676612,1.266473243
15/04/2023,34.71,108.31,0.17095,0.15687,0.17263,0.006714522,11.21480311,1.522992625,68.18816488,5996.548035,2.211722304,1.614277496,3.611672454,1.945466931
16/04/2023,34.71,108.31,0.15227,0.15025,0.17711,0.092167415,13.49055996,1.251873308,57.40091742,4741.767008,2.212947992,1.62137055,2.97672973,1.563691323
17/04/2023,34.71,108.31,0.14736,0.14717,0.16445,0.117755191,13.84884646,1.580780357,55.71483913,6072.207128,2.214155438,1.628200538,3.966079094,1.98917352
18/04/2023,34.71,108.31,0.15007,0.14989,0.17636,0,13.24538173,1.889053196,49.45365217,4509.068824,2.215348863,1.635014575,3.402722921,1.443687914
19/04/2023,34.71,108.31,0.14592,0.14607,0.16349,0,14.31111658,2.218098433,51.72266508,5990.64422,2.216551133,1.641847654,4.193847723,1.756183059
20/04/2023,34.71,108.31,0.13834,0.13417,0.16318,0.000305051,16.401947,3.217275825,58.61212896,5665.945442,2.217755429,1.648672104,4.236447647,1.531626876
21/04/2023,34.71,108.31,0.20886,0.16895,0.16991,24.2051872,11.44465133,4.715180213,83.44364792,1274.587486,2.218955383,1.655492538,0.888936363,1.713234616
22/04/2023,34.71,108.31,0.22265,0.16412,0.16698,18.20393277,6.118713375,3.743680846,94.351825,502.5550014,2.220153888,1.662319304,0.336265499,1.27327284
23/04/2023,34.71,108.31,0.20062,0.18052,0.179,0.996027022,6.809041329,1.683393586,88.56638063,1638.629021,2.221363667,1.669156558,0.915585869,0.921912491
24/04/2023,34.71,108.31,0.18543,0.16602,0.17836,1.329689599,7.868489625,4.219600108,70.00389992,3820.797315,2.222565792,1.675969958,2.710548617,2.105931936
25/04/2023,34.71,108.31,0.18399,0.16618,0.17853,0.016002174,8.392272946,2.423400658,46.25281354,6998.934185,2.22376315,1.682799021,4.198070247,2.824555932
26/04/2023,34.71,108.31,0.17869,0.16752,0.18437,0.0000954,9.360666904,1.198060903,59.64962971,6346.446026,2.224966325,1.689622604,3.714185346,2.528706463
27/04/2023,34.71,108.31,0.17234,0.16159,0.17846,0,11.9405925,2.173144525,59.79610879,6424.020737,2.226165783,1.696458175,4.194875392,2.657025491
28/04/2023,34.71,108.31,0.17136,0.16212,0.18213,0.017082869,16.11396288,1.849457026,59.61092433,6400.275188,2.22736915,1.703275492,4.275931852,2.787236277
29/04/2023,34.71,108.31,0.15266,0.14752,0.16493,0.002097508,18.33324188,2.316821129,51.35591538,6393.627649,2.228576579,1.710103704,5.176550842,3.139489951
30/04/2023,34.71,108.31,0.1442,0.13739,0.15339,0,15.88681033,2.330944429,37.25182646,6609.236965,2.2297645,1.716931704,5.345301169,2.936437688
01/05/2023,34.71,108.31,0.1461,0.13992,0.15935,0.000610103,16.63102213,2.797883142,45.02938729,6484.232924,2.2308762,1.723758067,5.178513717,2.661282101
02/05/2023,34.71,108.31,0.19311,0.17338,0.17438,13.42909215,14.34345502,1.684097488,85.84762846,1953.108965,2.232178592,1.730583308,1.033941385,0.961994676
03/05/2023,34.71,108.31,0.16611,0.15616,0.17159,0.383735929,13.72558594,3.296695479,59.63989542,5299.543702,2.233372054,1.737399346,4.142010149,2.62161457
04/05/2023,34.71,108.31,0.13497,0.12978,0.1538,0.096690916,17.86535646,3.817361192,47.25448013,6829.836547,2.234577929,1.744237625,6.075752217,3.453453387
05/05/2023,34.71,108.31,0.1403,0.13651,0.1539,0,21.363322,2.50617614,52.80147238,7030.094754,2.235781271,1.751054013,5.572745165,3.351631048
06/05/2023,34.71,108.31,0.1591,0.14602,0.15926,4.981048443,18.54434215,1.780849246,67.38978508,4364.906202,2.236979133,1.757885813,3.115733817,2.246952521
07/05/2023,34.71,108.31,0.14267,0.13768,0.15528,0,19.65955604,2.002259839,65.4083225,6367.903297,2.238184929,1.764711742,4.834984659,2.78468717
08/05/2023,34.71,108.31,0.13691,0.13294,0.15397,0.116232808,21.18384813,2.468574123,65.34872383,6914.265453,2.2393848,1.771541708,5.151962714,2.732346807
09/05/2023,34.71,108.31,0.12274,0.12399,0.15356,0.094866258,20.08094292,2.469243068,39.57906196,6059.127185,2.240585992,1.778356446,5.865057757,2.746466216
10/05/2023,34.71,108.31,0.19109,0.16667,0.15848,19.54313777,8.044789633,3.216529363,83.86838208,622.8005973,2.241787804,1.785187038,0.686763816,1.831806443
11/05/2023,34.71,108.31,0.20704,0.15733,0.15913,9.933019944,3.281250017,2.638137433,94.40986979,1112.154886,2.242988517,1.792019729,0.617379878,1.429541111
12/05/2023,34.71,108.31,0.19472,0.16105,0.16208,6.910312081,3.528177892,1.485390517,93.71676042,1933.092718,2.244193825,1.79883965,0.873704493,1.518427561
13/05/2023,34.71,108.31,0.17072,0.14783,0.16241,0.859285105,4.258555096,1.700142028,89.04638229,2209.780901,2.245389763,1.805659292,1.136438696,1.107157954
14/05/2023,34.71,108.31,0.19069,0.17428,0.16208,0.025485357,11.48316453,2.062691675,71.16337083,6564.743197,2.246594713,1.812493721,4.266607509,2.898629994
15/05/2023,34.71,108.31,0.16562,0.15383,0.1611,0,16.15732829,2.459593908,64.07608554,7190.949939,2.247552704,1.817381067,4.77090158,3.183218416
16/05/2023,34.71,108.31,0.16323,0.15021,0.16044,0.391127305,16.82158396,2.621018796,62.85733642,5985.358138,2.247626733,1.815490413,4.536065963,3.046098962
17/05/2023,34.71,108.31,0.13718,0.1338,0.15561,0.134628646,12.66577152,4.82828855,42.27979896,4707.132504,2.247626625,1.813007596,4.821036575,2.508990006
18/05/2023,34.71,108.31,0.15368,0.14669,0.16187,0,12.31467692,1.726905853,39.31311608,7777.076177,2.2476072,1.810551171,5.473131152,3.234592779
19/05/2023,34.71,108.31,0.13336,0.12855,0.15071,0,16.47748829,2.3334515,44.03144329,7635.097813,2.247596913,1.808080388,5.859251174,3.368047029
20/05/2023,34.71,108.31,0.12884,0.1275,0.15546,0.055723373,18.60743194,2.820013117,47.19267921,6251.987045,2.247596313,1.805600842,5.200062946,2.579390041
21/05/2023,34.71,108.31,0.12213,0.12054,0.15419,0,20.78407804,2.60578842,55.08435617,6833.450328,2.247589721,1.803124667,5.885443991,2.725875558
22/05/2023,34.71,108.31,0.13245,0.12719,0.14697,0.823425043,17.43790692,3.099721417,75.31643488,3153.380169,2.247588229,1.800664863,2.698836213,1.054357455
23/05/2023,34.71,108.31,0.17223,0.15477,0.18157,3.078711351,17.06896979,1.779331125,82.23270025,1824.947442,2.247581617,1.798208313,1.433457541,1.140855056
24/05/2023,34.71,108.31,0.14428,0.13873,0.1578,2.501365819,15.7402344,2.192919636,74.19213858,3370.215287,2.247571567,1.795733379,2.692456037,1.42766101
25/05/2023,34.71,108.31,0.22457,0.17496,0.1647,10.82952864,13.21511854,2.15200112,93.36240167,1231.868493,2.247573983,1.793278213,0.738053118,1.069209407
26/05/2023,34.71,108.31,0.16979,0.15114,0.1808,2.074811103,11.8053284,3.002043404,85.10206375,2038.589131,2.247562742,1.790794217,1.447257783,1.29845311
27/05/2023,34.71,108.31,0.13889,0.13588,0.15628,0.041038955,14.31297815,3.158094367,64.63434171,4875.077461,2.247565888,1.788317242,3.925414955,2.306558532
28/05/2023,34.71,108.31,0.18214,0.15785,0.15822,7.978346713,12.35579425,1.639158603,84.14154458,968.0290616,2.247549517,1.785853713,0.728275515,0.954031562
29/05/2023,34.71,108.31,0.20345,0.17691,0.15332,2.851753148,12.88767506,0.817660078,89.18219429,3081.636146,2.247555967,1.783388142,1.775850111,1.755512253
30/05/2023,34.71,108.31,0.17689,0.16629,0.15005,0.073918766,16.35366821,1.972946194,67.31791771,6654.052575,2.247544204,1.780904446,4.893045422,3.339076429
31/05/2023,34.71,108.31,0.13303,0.12824,0.1494,0,18.60754392,2.371813425,48.79320608,7341.316699,2.247543658,1.778430663,6.170808169,3.920365298
01/06/2023,34.71,108.31,0.12069,0.11663,0.1394,0.093532964,21.38209048,2.603680271,42.6148275,7474.233494,2.247532204,1.775978967,6.729106725,3.936279692
02/06/2023,34.71,108.31,0.10894,0.10792,0.13744,0.792997999,23.20243317,2.670850883,48.33442775,7438.501311,2.247528825,1.773499608,6.949003038,3.775774543
03/06/2023,34.71,108.31,0.0939,0.09955,0.13711,0,23.5517985,2.579144592,49.94270125,7355.072199,2.247524092,1.771015013,6.738873369,3.189006382
04/06/2023,34.71,108.31,0.11742,0.11889,0.13352,0,24.26853433,2.277156516,49.92364271,6544.789476,2.247520729,1.768549233,6.147906804,2.428449238
05/06/2023,34.71,108.31,0.10349,0.1085,0.13319,0.241332884,22.92938246,2.817765992,47.52223217,4479.449824,2.247516542,1.766092975,5.803408129,1.730003035
06/06/2023,34.71,108.31,0.08739,0.0951,0.13156,0.000915154,22.47510783,2.418768796,50.49158163,7579.015716,2.247506579,1.763605275,7.106062704,2.126105126
07/06/2023,34.71,108.31,0.09512,0.09647,0.1296,0,24.21235146,1.870218815,59.82525558,7231.943437,2.247495558,1.761127867,6.335518848,1.914608168
08/06/2023,34.71,108.31,0.10249,0.10731,0.12796,0.065722915,23.85314929,2.05304226,57.66906429,5503.868805,2.247487504,1.758674467,5.403032038,1.488625484
09/06/2023,34.71,108.31,0.213,0.16911,0.15698,17.69798382,11.21558633,3.521412356,66.59771496,1637.869332,2.247480883,1.75621255,1.67911025,2.933713127
10/06/2023,34.71,108.31,0.14886,0.14039,0.15695,0,13.18074538,1.783509387,58.04229721,7201.616843,2.247481775,1.753742458,5.170099527,2.95010152
11/06/2023,34.71,108.31,0.1421,0.13904,0.16014,0.181560995,12.69518023,1.92584491,67.24579854,3785.664631,2.2474715,1.751267313,2.907436684,1.416842654
12/06/2023,34.71,108.31,0.14651,0.13916,0.15642,0.00038186,16.01462819,1.732427293,67.18680733,7374.795668,2.247465688,1.748803058,5.132040542,2.64579607
13/06/2023,34.71,108.31,0.14641,0.14286,0.161,2.051345377,17.58157346,1.497494201,74.43477033,4131.736218,2.247465325,1.746326846,3.242952516,1.964921732
14/06/2023,34.71,108.31,0.16857,0.15312,0.16142,1.174649424,15.84946688,1.955697004,83.46377583,1844.253043,2.247456342,1.743852142,1.66067422,0.916039411
15/06/2023,34.71,108.31,0.22365,0.17467,0.1628,9.81183048,15.1427409,0.717664903,96.98488542,611.4058941,2.247537188,1.742660808,0.345222584,0.512233714
16/06/2023,34.71,108.31,0.21382,0.1758,0.16032,4.052503962,16.0327861,0.975406097,97.30283958,1078.084694,2.247745342,1.745864308,0.574702314,0.760994123
17/06/2023,34.71,108.31,0.21143,0.17833,0.16503,1.474264495,17.05401604,1.310875233,94.51413229,1772.789946,2.247926208,1.749487567,1.087300952,1.023024056
18/06/2023,34.71,108.31,0.166,0.15478,0.16193,0.049165349,21.22202563,1.651118724,79.16201271,6496.587053,2.248109967,1.7530735,4.806717111,3.20328675
19/06/2023,34.71,108.31,0.21593,0.17534,0.16062,21.47168805,17.69258629,2.250889879,87.94483438,1283.181617,2.248315592,1.756694163,0.938140774,1.177896992
20/06/2023,34.71,108.31,0.18885,0.174,0.16029,0.508314439,19.30571483,1.408533167,79.88258063,1220.683698,2.248504725,1.760266258,4.689546461,3.558104652
21/06/2023,34.71,108.31,0.21369,0.16614,0.16013,8.379091148,15.68134565,1.302390603,91.28798896,1625.994425,2.248689967,1.763890338,1.031640352,1.364875385
22/06/2023,34.71,108.31,0.22976,0.18627,0.16996,14.41547507,13.86711633,1.358092112,93.72922188,715.9230071,2.248878096,1.76747195,0.476035898,0.799412346
23/06/2023,34.71,108.31,0.20323,0.17439,0.16341,4.287567351,14.85886644,1.660645595,89.90969042,1692.608922,2.249091871,1.771097825,1.047418196,1.049438855
24/06/2023,34.71,108.31,0.18451,0.17006,0.16865,0.015829986,19.4639894,1.768135543,69.34421771,5932.517289,2.249248321,1.774687371,4.534385872,3.436949487
25/06/2023,34.71,108.31,0.1777,0.16371,0.158,0.001526618,23.04451483,1.766918758,57.71740238,7839.763562,2.249473892,1.778281608,6.255357569,4.850562901
26/06/2023,34.71,108.31,0.17382,0.16492,0.14767,0.000286241,22.53703825,1.977757113,61.12627875,5030.025824,2.249641688,1.781872196,4.506126792,3.293246869
27/06/2023,34.71,108.31,0.16644,0.15648,0.14734,0.036301121,24.33606983,1.621777669,56.76601625,7777.320392,2.249846004,1.785477758,6.595877134,4.798015625
28/06/2023,34.71,108.31,0.15273,0.1457,0.14587,0,25.47148638,2.201200842,42.69451542,7998.342136,2.250018117,1.789077117,7.476936924,5.042075639
29/06/2023,34.71,108.31,0.12989,0.11814,0.14513,0.16015203,26.65682979,1.732781169,46.61671396,7841.50331,2.2502311,1.792680271,7.206869601,4.465996753
30/06/2023,34.71,108.31,0.11418,0.11274,0.1444,0.506942595,24.92511996,1.818337165,60.29930342,6529.807394,2.250393154,1.796291863,6.158021398,3.438395929
01/07/2023,34.71,108.31,0.13899,0.13629,0.14456,1.176754444,22.07367967,1.611840717,64.56676238,3937.231515,2.250551917,1.799310933,3.309052857,1.925802547
02/07/2023,34.71,108.31,0.09378,0.0997,0.14472,0.113178472,23.436025,1.331951878,50.93603492,7766.424984,2.2507174,1.802288133,6.490725637,3.363975181
03/07/2023,34.71,108.31,0.09183,0.09745,0.14505,0,25.30541992,2.25165449,44.41999821,8278.264548,2.250927167,1.805889404,7.573538793,3.174778875
04/07/2023,34.71,108.31,0.11362,0.10679,0.14096,0.442725086,24.53248088,2.602226275,59.66572942,6257.266689,2.251091792,1.809490808,6.136721168,2.215148478
05/07/2023,34.71,108.31,0.12055,0.11701,0.14407,2.102514906,20.71982838,3.926532517,72.12159663,3152.825771,2.251306417,1.813090279,3.668977573,1.063007084
06/07/2023,34.71,108.31,0.20034,0.16442,0.17417,7.029983726,17.90176383,3.276800045,91.45801208,1520.758093,2.25148265,1.816703883,1.404841246,1.188418665
07/07/2023,34.71,108.31,0.20026,0.17003,0.16036,1.102381585,18.76976529,1.276064412,91.66581729,2115.624744,2.251671213,1.820295496,1.496424431,0.979347401
08/07/2023,34.71,108.31,0.13637,0.13427,0.15533,0,22.216858,1.57797665,72.38929471,5156.35718,2.251865721,1.823914646,4.212222092,2.259718582
09/07/2023,34.71,108.31,0.11488,0.114,0.14745,0,23.83110558,1.304844107,54.300598,6085.562277,2.252053296,1.827493225,5.579481841,2.988365643
10/07/2023,34.71,108.31,0.0902,0.09908,0.13475,0.00080093,26.18445838,1.465687784,52.00743171,7051.937051,2.252245558,1.831115238,6.654288225,3.294793085
11/07/2023,34.71,108.31,0.10022,0.1043,0.13608,0.205347916,25.83789058,1.782711608,61.35382842,7328.542275,2.252435625,1.834691608,6.405365363,2.727913354
12/07/2023,34.71,108.31,0.0849,0.09237,0.12897,0.000610102,25.93893429,2.261537063,52.45450321,7839.109845,2.252639529,1.838322238,7.459233845,2.43712018
13/07/2023,34.71,108.31,0.08546,0.09268,0.12984,0.00217388,24.72365325,2.33732533,53.37155367,6976.405046,2.252809538,1.841906463,6.90947756,1.836728559
14/07/2023,34.71,108.31,0.08627,0.09359,0.13103,0.142937835,25.97768154,2.059298435,48.7967025,7650.372871,2.253029183,1.845522842,7.30154849,1.940090768
15/07/2023,34.71,108.31,0.10761,0.11197,0.14713,3.007270493,26.60952758,1.815068347,59.61714604,6110.524248,2.253083088,1.848840717,5.671399753,1.977304484
16/07/2023,34.71,108.31,0.19461,0.1743,0.15745,34.72583284,25.10282383,2.650913183,76.20457688,4773.780689,2.252711438,1.848187079,4.795046441,1.798363082
17/07/2023,34.71,108.31,0.18481,0.17294,0.15732,1.157651017,24.10483813,1.251505304,82.66401883,4894.769595,2.252301367,1.846232663,4.070183675,3.141861746
18/07/2023,34.71,108.31,0.16544,0.15597,0.15661,0.054198099,26.54216513,1.319764699,62.18988783,7655.166624,2.251900096,1.844244229,6.619660519,4.634397765
19/07/2023,34.71,108.31,0.14774,0.13433,0.15286,0,27.4724425,2.474273632,56.36430858,7998.500238,2.251488246,1.842290567,7.375995881,4.624851023
